Equipos ordenados por nombre:
Barcelona|Guayaquil|15|51
Dep Cuenca|Cuenca|1|30
Emelec|Guayaquil|14|49
Liga de Quito|Quito|10|50

Equipos ordenados por campeonato:
Dep Cuenca|Cuenca|1|30
Liga de Quito|Quito|10|50
Emelec|Guayaquil|14|49
Barcelona|Guayaquil|15|51

Equipos ordenados por ciudad:
Dep Cuenca|Cuenca|1|30
Barcelona|Guayaquil|15|51
Emelec|Guayaquil|14|49
Liga de Quito|Quito|10|50

Equipos ordenados por numJugador:
Dep Cuenca|Cuenca|1|30
Emelec|Guayaquil|14|49
Liga de Quito|Quito|10|50
Barcelona|Guayaquil|15|51

